Time,Grid Price,Temp,Energy Demand (kW),Amount of Battery Recharge (kWh),Amount of Battery Discharge (kWh),Grid Power (kWh),Total Power,Battery Power Stored (kWh),Net Power Change (kWh),Cost of Time Step with Battery,Cumulative Cost with Battery,Cost of Time Step without Battery,Cumulative Cost without Battery,Savings with Battery
2019-01-01 00:00:00,2.0,36.7,3.53,3.552713678800501e-15,2.9999999999999964,0.5300000000000034,3.53,37.375,-2.999999999999993,1.849000000000013,1.849000000000013,7.06,7.06,5.210999999999986
2019-01-01 01:00:00,1.9,35.8,3.6200000000000006,0.0,3.0,0.6200000000000006,3.6200000000000006,32.50625,-3.0,1.967000000000001,3.816000000000014,6.878000000000001,13.938,10.121999999999986
2019-01-01 02:00:00,1.9,33.8,3.8200000000000003,0.0,3.0,0.8200000000000003,3.8200000000000003,27.880937499999998,-3.0,2.3470000000000004,6.1630000000000145,7.258,21.196,15.032999999999987
2019-01-01 03:00:00,1.8,33.0,3.9000000000000004,5.329070518200751e-15,2.9999999999999947,0.9000000000000057,3.9000000000000004,23.486890625000008,-2.9999999999999893,2.4090000000000185,8.572000000000033,7.0200000000000005,28.216,19.64399999999997
2019-01-01 04:00:00,1.8,33.0,3.9000000000000004,0.0,3.0,0.9000000000000004,3.9000000000000004,19.312546093750008,-3.0,2.4090000000000007,10.981000000000034,7.0200000000000005,35.236000000000004,24.25499999999997
2019-01-01 05:00:00,1.7,33.0,3.9000000000000004,7.673861546209082e-13,2.9999999999992326,0.9000000000007677,3.9000000000000004,15.346918789064041,-2.9999999999984652,2.319000000002408,13.300000000002441,6.630000000000001,41.86600000000001,28.565999999997565
2019-01-01 06:00:00,1.8,33.0,3.9000000000000004,1.4122036873231991e-12,2.999999999998588,0.9000000000014126,3.9000000000000004,11.579572849613664,-2.9999999999971756,2.4090000000047134,15.709000000007155,7.0200000000000005,48.88600000000001,33.17699999999286
2019-01-01 07:00:00,1.7,32.4,3.9600000000000004,0.0,3.0,0.9600000000000004,3.9600000000000004,8.00059420713298,-3.0,2.4210000000000007,18.130000000007154,6.732,55.61800000000001,37.48799999999285
2019-01-01 08:00:00,1.6,32.0,4.0,0.0,3.0,1.0,4.0,4.6005644967763315,-3.0,2.3890000000000002,20.519000000007154,6.4,62.01800000000001,41.498999999992854
2019-01-01 09:00:00,-0.8,31.6,4.04,2.9999999999993867,1.5201651516068177e-13,4.039999999999848,4.04,7.370536271936749,2.999999999999235,-5.631999999999349,14.887000000007806,-3.232,58.78600000000001,43.8989999999922
2019-01-01 10:00:00,0.0,31.5,4.05,2.9999999999990803,3.746089722974385e-13,4.049999999999625,4.05,10.002009458338616,2.9999999999987055,9.852215971422632e-14,14.887000000007903,0.0,58.78600000000001,43.89899999999211
2019-01-01 11:00:00,1.6,29.8,4.220000000000001,0.3579486260056002,2.6420513739944,1.5779486260056008,4.220000000000001,7.2178062374328835,-2.2841027479887996,3.792295114578449,18.679295114586353,6.752000000000002,65.53800000000001,46.85870488541366
2019-01-01 12:00:00,1.7,29.1,4.29,0.005885895208581182,2.994114104791419,1.2958858952085812,4.29,3.8686877159784014,-2.9882282095828376,3.0004640532693196,21.67975916785567,7.293,72.83100000000002,51.151240832144346
2019-01-01 13:00:00,1.5,28.4,4.36,2.490317986129599,2.916763513682078e-13,4.359999999999709,4.36,6.165571316308789,2.490317986129307,10.275476979194039,31.95523614704971,6.540000000000001,79.37100000000002,47.41576385295031
2019-01-01 14:00:00,2.0,28.0,4.4,1.0778037125971992e-10,3.765156926091635e-10,4.399999999623485,4.4,5.857292750224614,-2.6873532134944356e-10,8.799999999561553,40.75523614661127,8.8,88.17100000000002,47.41576385338875
2019-01-01 15:00:00,2.0,27.5,4.45,0.21778596331967792,2.782214036680322,1.667785963319678,4.45,3.0000000393527384,-2.564428073360644,4.502866144925637,45.2581022915369,8.9,97.07100000000003,51.812897708463126
2019-01-01 16:00:00,2.1,27.5,4.45,0.0,3.0,1.4500000000000002,4.45,0.0,-3.0,3.8340000000000005,49.092102291536904,9.345,106.41600000000003,57.32389770846312
2019-01-01 17:00:00,2.1,27.5,4.45,2.7548644432121878e-08,0.0,4.45,4.45,2.7548644432121878e-08,2.7548644432121878e-08,9.345000057852154,58.43710234938906,9.345,115.76100000000002,57.32389765061097
2019-01-01 18:00:00,2.1,27.1,4.49,0.0,2.7548644432121878e-08,4.489999972451356,4.49,0.0,-2.7548644432121878e-08,9.428999949393143,67.8661022987822,9.429,125.19000000000003,57.32389770121783
2019-01-01 19:00:00,2.1,26.8,4.5200000000000005,4.509600924149648e-12,0.0,4.5200000000000005,4.5200000000000005,4.509600924149648e-12,4.509600924149648e-12,9.49200000000947,77.35810229879166,9.492,134.68200000000002,57.32389770120835
2019-01-01 20:00:00,2.1,26.6,4.54,2.131815184625352,4.509600924149648e-12,4.539999999995491,4.54,2.1318151846251263,2.131815184620842,14.010811887704957,91.36891418649662,9.534,144.216,52.847085813503384
2019-01-01 21:00:00,2.2,26.2,4.58,2.9999999980611833,1.9388166120252493e-09,4.579999998061184,4.58,5.025224421516238,2.9999999961223667,16.67599999197912,108.04491417847575,10.076,154.292,46.24708582152425
2019-01-01 22:00:00,2.8,25.7,4.63,0.6130187713315229,2.386981228668477,2.243018771331523,4.63,3.0000007431034716,-1.7739624573369541,8.624681182596337,116.66959536107208,12.963999999999999,167.256,50.58640463892792
2019-01-01 23:00:00,2.8,25.7,4.63,1.0573408815162111e-10,2.999999999894266,1.630000000105734,4.63,0.0,-2.999999999788532,5.353000000564302,122.02259536163639,12.963999999999999,180.22,58.19740463836361
2019-01-02 00:00:00,2.7,25.3,4.670000000000001,0.0,0.0,4.670000000000001,4.670000000000001,0.0,0.0,12.609000000000004,134.63159536163639,12.609000000000004,192.829,58.19740463836362
2019-01-02 01:00:00,2.4,25.2,4.68,2.9976450947891244,0.0,4.68,4.68,2.9976450947891244,2.9976450947891244,18.426348227493897,153.05794358913028,11.232,204.061,51.00305641086973
2019-01-02 02:00:00,3.0,24.8,4.720000000000001,0.0023549052108755575,2.9976450947891244,1.7223549052108762,4.720000000000001,0.0,-2.995290189578249,5.962510091194795,159.02045368032506,14.160000000000002,218.221,59.20054631967494
2019-01-02 03:00:00,2.9,25.0,4.7,9.805075340797319e-15,0.0,4.7,4.7,9.805075340797319e-15,9.805075340797319e-15,13.63000000000003,172.65045368032509,13.63,231.851,59.20054631967491
2019-01-02 04:00:00,2.3,25.2,4.68,7.327485524447546e-14,9.805075340797319e-15,4.67999999999999,4.68,7.278460147743559e-14,6.346977990367814e-14,10.764000000000147,183.41445368032524,10.764,242.615,59.20054631967477
2019-01-02 05:00:00,2.0,25.2,4.68,1.4999007742517378,7.278460147743559e-14,4.679999999999927,4.68,1.499900774251734,1.499900774251665,12.359801548503349,195.7742552288286,9.36,251.97500000000002,56.20074477117143
2019-01-02 06:00:00,2.3,25.3,4.670000000000001,8.933478518505914e-12,1.499900774251734,3.1700992257482667,4.670000000000001,0.0,-1.4999007742428005,7.685702122869766,203.45995735169836,10.741000000000001,262.716,59.256042648301644
2019-01-02 07:00:00,2.2,25.9,4.61,0.0,0.0,4.61,4.61,0.0,0.0,10.142000000000001,213.60195735169836,10.142000000000001,272.858,59.256042648301644
2019-01-02 08:00:00,2.1,25.7,4.63,4.742740759584169e-16,0.0,4.63,4.63,4.742740759584169e-16,4.742740759584169e-16,9.723000000000003,223.32495735169837,9.723,282.581,59.256042648301644
2019-01-02 09:00:00,2.0,26.4,4.5600000000000005,1.3591095213135254e-15,4.742740759584169e-16,4.56,4.5600000000000005,1.3353958175156044e-15,8.848354453551085e-16,9.120000000000003,232.44495735169838,9.120000000000001,291.701,59.256042648301644
2019-01-02 10:00:00,2.1,26.6,4.54,2.092634856147317e-12,1.3353958175156044e-15,4.539999999999998,4.54,2.092568086356441e-12,2.091299460329801e-12,9.534000000004392,241.97895735170277,9.534,301.235,59.25604264829724
2019-01-02 11:00:00,2.2,26.6,4.54,3.7495656579622505e-10,2.092568086356441e-12,4.5399999999979075,4.54,3.7485193739190724e-10,3.728639977098686e-10,9.988000000820852,251.96695735252362,9.988000000000001,311.223,59.25604264747639
2019-01-02 12:00:00,2.4,26.8,4.5200000000000005,1.1386171257083971e-10,3.7485193739190724e-10,4.519999999625148,4.5200000000000005,9.511911570124429e-11,-2.609902248210675e-10,10.84799999947221,262.8149573519958,10.848,322.071,59.25604264800421
2019-01-02 13:00:00,2.5,27.0,4.5,4.81536383543933e-12,9.511911570124429e-11,4.4999999999048805,4.5,5.940805037711371e-14,-9.030375186580496e-11,11.249999999799256,274.06495735179504,11.25,333.321,59.25604264820498
2019-01-02 14:00:00,2.7,27.3,4.470000000000001,2.4032594586489373e-09,5.940805037711371e-14,4.469999999999941,4.470000000000001,2.403256488246418e-09,2.40320005059856e-09,12.069000006488658,286.1339573582837,12.069000000000003,345.39000000000004,59.25604264171636
2019-01-02 15:00:00,2.8,28.0,4.4,1.1316334455029565e-12,2.403256488246418e-09,4.399999997596744,4.4,0.0,-2.402124854800915e-09,12.319999993906109,298.4539573521898,12.32,357.71000000000004,59.25604264781026
2019-01-02 16:00:00,2.7,28.6,4.34,0.0,0.0,4.34,4.34,0.0,0.0,11.718,310.1719573521898,11.718,369.42800000000005,59.25604264781026
2019-01-02 17:00:00,2.7,28.8,4.32,3.0406534726149744e-14,0.0,4.32,4.32,3.0406534726149744e-14,3.0406534726149744e-14,11.664000000000083,321.8359573521899,11.664000000000001,381.09200000000004,59.25604264781015
2019-01-02 18:00:00,2.1,28.8,4.32,0.24634661750098227,3.0406534726149744e-14,4.31999999999997,4.32,0.24634661750098075,0.24634661750095185,9.589327896752009,331.4252852489419,9.072000000000001,390.16400000000004,58.738714751058126
2019-01-02 19:00:00,2.5,28.4,4.36,5.229397041308074e-10,0.24634661750098075,4.113653382499019,4.36,0.0,-0.24634661697804106,10.348922617957655,341.7742078668996,10.9,401.064,59.289792133100434
2019-01-02 20:00:00,2.0,28.6,4.34,2.8969288658624612,0.0,4.34,4.34,2.8969288658624612,2.8969288658624612,14.473857731724923,356.2480655986245,8.68,409.744,53.49593440137551
2019-01-02 21:00:00,2.5,28.4,4.36,0.2479161694054191,0.0,4.36,4.36,2.999998591974757,0.2479161694054191,11.519790423513548,367.76785602213806,10.9,420.644,52.87614397786194
2019-01-02 22:00:00,2.8,27.5,4.45,1.5051028408170073,1.355908360051262,3.094091639948738,4.45,2.999193143141764,0.14919448076574526,13.234348444837568,381.0022044669756,12.459999999999999,433.104,52.10179553302436
2019-01-02 23:00:00,3.1,28.0,4.4,0.0008068568582357827,2.999193143141764,1.4008068568582361,4.4,0.0,-2.9983862862835284,5.133790309167347,386.135994776143,13.640000000000002,446.74399999999997,60.60800522385699
2019-01-03 00:00:00,2.8,27.9,4.41,0.0,0.0,4.41,4.41,0.0,0.0,12.347999999999999,398.483994776143,12.347999999999999,459.092,60.60800522385699
2019-01-03 01:00:00,0.1,27.5,4.45,2.9999999999963944,0.0,4.45,4.45,2.9999999999963944,2.9999999999963944,0.7449999999996395,399.22899477614266,0.44500000000000006,459.537,60.30800522385732
2019-01-03 02:00:00,2.4,26.6,4.54,3.6055602947726584e-12,2.9999999999963944,1.5400000000036056,4.54,0.0,-2.999999999992789,4.485000000016359,403.71399477615904,10.895999999999999,470.433,66.71900522384095
2019-01-03 03:00:00,2.4,26.6,4.54,4.658830868079181e-12,0.0,4.54,4.54,4.658830868079181e-12,4.658830868079181e-12,10.89600000001118,414.6099947761702,10.895999999999999,481.329,66.71900522382981
2019-01-03 04:00:00,2.3,25.7,4.63,0.0,4.658830868079181e-12,4.629999999995341,4.63,0.0,-4.658830868079181e-12,10.64899999999051,425.2589947761607,10.649,491.978,66.7190052238393
2019-01-03 05:00:00,2.2,25.0,4.7,0.0,0.0,4.7,4.7,0.0,0.0,10.340000000000002,435.5989947761607,10.340000000000002,502.318,66.7190052238393
2019-01-03 06:00:00,2.1,24.6,4.74,1.0066359467471839e-10,0.0,4.74,4.74,1.0066359467471839e-10,1.0066359467471839e-10,9.954000000211394,445.5529947763721,9.954,512.2719999999999,66.71900522362785
2019-01-03 07:00:00,2.0,23.9,4.8100000000000005,3.0091313594108644e-11,1.0066359467471839e-10,4.809999999899337,4.8100000000000005,2.5058133860372724e-11,-7.057228108060975e-11,9.619999999885332,455.17299477625744,9.620000000000001,521.8919999999999,66.7190052237425
2019-01-03 08:00:00,2.0,23.9,4.8100000000000005,1.6989345467389556e-16,2.5058133860372724e-11,4.809999999974942,4.8100000000000005,0.0,-2.505796396691805e-11,9.619999999956475,464.7929947762139,9.620000000000001,531.512,66.71900522378604
2019-01-03 09:00:00,2.0,23.7,4.83,7.017646004167293e-19,0.0,4.83,4.83,7.017646004167293e-19,7.017646004167293e-19,9.66,474.4529947762139,9.66,541.1719999999999,66.71900522378598
