Time,Grid Price,Temp,Energy Demand (kW),Amount of Battery Recharge (kWh),Amount of Battery Discharge (kWh),Grid Power (kWh),Total Power,Battery Power Stored (kWh),Net Power Change (kWh),Cost of Time Step with Battery,Cumulative Cost with Battery,Cost of Time Step without Battery,Cumulative Cost without Battery,Savings with Battery
2019-09-25 15:00:00,2.2,68.0,0.4,4.440892098500626e-16,1.9984014443252816e-16,0.3999999999999998,0.4,4.340972026284362e-16,2.4424906541753446e-16,0.8800000000000007,37673.78758471313,0.8800000000000001,40510.933000000165,2837.1454152870356
2019-09-25 16:00:00,2.2,69.4,0.25999999999999945,0.0,4.340972026284362e-16,0.259999999999999,0.25999999999999945,0.0,-4.340972026284362e-16,0.571999999999998,37674.35958471313,0.5719999999999988,40511.505000000165,2837.1454152870356
2019-09-25 17:00:00,2.4,75.2,0.3200000000000003,0.0,0.0,0.3200000000000003,0.3200000000000003,0.0,0.0,0.7680000000000007,37675.127584713126,0.7680000000000007,40512.27300000016,2837.1454152870356
2019-09-25 18:00:00,2.5,79.0,0.7000000000000001,2.328228638234977e-14,0.0,0.7000000000000001,0.7000000000000001,2.328228638234977e-14,2.328228638234977e-14,1.7500000000000584,37676.877584713126,1.7500000000000002,40514.02300000016,2837.1454152870356
2019-09-25 19:00:00,2.6,79.2,0.7200000000000003,0.8799979717556445,2.328228638234977e-14,0.719999999999977,0.7200000000000003,0.8799979717556433,0.8799979717556212,4.159994726564622,37681.03757943969,1.8720000000000008,40515.895000000164,2834.8574205604746
2019-09-25 20:00:00,3.1,80.8,0.8799999999999998,0.0,0.8799979717556433,2.0282443564667574e-06,0.8799999999999998,0.0,-0.8799979717556433,0.23144575412923923,37681.26902519382,2.7279999999999993,40518.62300000017,2837.3539748063486
2019-09-25 21:00:00,3.1,80.0,0.8,3.1086244689504383e-15,0.0,0.8,0.8,3.1086244689504383e-15,3.1086244689504383e-15,2.48000000000001,37683.74902519382,2.4800000000000004,40521.10300000017,2837.3539748063486
2019-09-25 22:00:00,3.1,77.0,0.5,2.314600692611741e-14,3.1086244689504383e-15,0.4999999999999969,0.5,2.2990575702669886e-14,2.003738245716697e-14,1.550000000000063,37685.299025193824,1.55,40522.65300000017,2837.3539748063486
2019-09-25 23:00:00,2.3,75.4,0.3400000000000006,0.07000024842563783,2.2990575702669886e-14,0.3399999999999776,0.3400000000000006,0.07000024842563668,0.07000024842561484,0.9430005713789213,37686.242025765205,0.7820000000000012,40523.43500000017,2837.1929742349676
2019-09-26 00:00:00,3.8,72.7,0.07000000000000028,0.0,0.07000000000000028,0.0,0.07000000000000028,0.0,-0.07000000000000028,0.018410000000000076,37686.2604357652,0.26600000000000107,40523.701000000176,2837.440564234974
