Time,Grid Price,Temp,Energy Demand (kW),Amount of Battery Recharge (kWh),Amount of Battery Discharge (kWh),Grid Power (kWh),Total Power,Battery Power Stored (kWh),Net Power Change (kWh),Cost of Time Step with Battery,Cumulative Cost with Battery,Cost of Time Step without Battery,Cumulative Cost without Battery,Savings with Battery
2019-10-09 15:00:00,8.0,64.0,0.8,1.25084933578556e-14,0.8,0.0,0.8,0.46999604595980937,-0.7999999999999875,0.2104000000001001,37939.3575916255,6.4,41852.72900000021,3913.371408374711
2019-10-09 16:00:00,2.4,67.3,0.4700000000000003,3.5295376058544742e-15,0.46999604595980937,3.9540401909343714e-06,0.4700000000000003,0.0,-0.4699960459598058,0.12361844978389659,37939.48121007528,1.1280000000000008,41853.85700000021,3914.375789924925
2019-10-09 17:00:00,2.1,70.2,0.17999999999999972,0.07993392272042639,0.0,0.17999999999999972,0.17999999999999972,0.07993392272042639,0.07993392272042639,0.5458612377128949,37940.027071312994,0.3779999999999994,41854.235000000204,3914.2079286872104
2019-10-09 18:00:00,2.4,71.2,0.07999999999999972,0.0,0.07993392272042639,6.607727957333442e-05,0.07999999999999972,0.0,-0.07993392272042639,0.021181207146448146,37940.04825252014,0.19199999999999934,41854.42700000021,3914.37874748007
2019-10-09 19:00:00,2.4,72.5,0.05,0.0,0.0,0.05,0.05,0.0,0.0,0.12,37940.16825252014,0.12,41854.54700000021,3914.37874748007
2019-10-09 20:00:00,2.3,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37940.16825252014,0.0,41854.54700000021,3914.37874748007
2019-10-09 21:00:00,2.3,72.3,0.029999999999999718,0.0,0.0,0.029999999999999718,0.029999999999999718,0.0,0.0,0.06899999999999934,37940.23725252014,0.06899999999999934,41854.61600000021,3914.37874748007
2019-10-09 22:00:00,2.1,69.0,0.30000000000000004,0.0,0.0,0.30000000000000004,0.30000000000000004,0.0,0.0,0.6300000000000001,37940.86725252014,0.6300000000000001,41855.24600000021,3914.37874748007
2019-10-09 23:00:00,2.3,67.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,1.15,37942.01725252014,1.15,41856.39600000021,3914.37874748007
2019-10-10 00:00:00,2.3,64.4,0.7599999999999995,0.0,0.0,0.7599999999999995,0.7599999999999995,0.0,0.0,1.7479999999999987,37943.76525252014,1.7479999999999987,41858.14400000021,3914.37874748007
2019-10-10 01:00:00,2.1,62.2,0.9799999999999998,1.0855008043282312e-16,0.0,0.9799999999999998,0.9799999999999998,1.0855008043282312e-16,1.0855008043282312e-16,2.058,37945.82325252014,2.0579999999999994,41860.20200000021,3914.37874748007
2019-10-10 02:00:00,2.1,60.4,1.1600000000000001,0.0,1.0855008043282312e-16,1.1600000000000001,1.1600000000000001,0.0,-1.0855008043282312e-16,2.4360000000000004,37948.25925252014,2.4360000000000004,41862.63800000021,3914.37874748007
2019-10-10 03:00:00,1.6,60.8,1.1200000000000003,1.0355775887116211e-13,0.0,1.1200000000000003,1.1200000000000003,1.0355775887116211e-13,1.0355775887116211e-13,1.7920000000001663,37950.05125252014,1.7920000000000007,41864.43000000021,3914.37874748007
2019-10-10 04:00:00,1.8,61.7,1.0299999999999998,2.879797424190078e-13,1.0355775887116211e-13,1.0299999999998963,1.0299999999999998,2.8280185447544967e-13,1.8442198354784566e-13,1.8540000000003591,37951.90525252014,1.8539999999999996,41866.28400000021,3914.37874748007
